1000012	ส้มตำ|มะละกา	2
1000017	บุคคล|ใน|ข่าว|11/07/60	1
1000025	ยัง|ไม่|พูด|หนุ่ม|เยอรมัน|สงสัย|ฆ่า|สาว|ไทย|ทิ้ง|เหว|พบ|เป็น|เทรนเนอร์|ฟิต|เน	3
1000047	สุด|ช็อก|รถ|บัส|เสียหลัก|เหิน|ทับ|เก๋ง|บน|มอเตอร์|เวย์|จน|เป็น|เศษ|เหล็ก|ตาย|2(|คลิป|)	4
1000090	21|ปี|...|พืช|จีเอ็ม|เพื่อ|การ|ค้า	2
1000124	ล้วง|ลึก|รุ่น|ขับเคลื่อน|2|ล้อ|MITSUBISHI|PAJERO|SPORT GT|2WD	0
1000147	เมนู|ทีวี|11/07/60	4
1000152	สมควร|แก่|เวลา	2
1000157	ไม่|ง้อ|สาว|!|หนุ่ม|ญี่ปุ่น|หัน|แต่งงาน|กับ|อ|นิ|เมะ|...|พร้อม|จูบ|สาบาน|จะ|รัก|กัน|ตลอด|ไป	0
1000195	คึกคัก|!|20|ขุนพล|ช้าง|ศึก|รายงาน|ตัว|เข้า|แคมป์|ซ้อม|คิงส์|คัพ	4
1000210	เตรียม|หมายจับ|หนุ่ม|เยอรมัน|ฆ่า|แฟน|โยน|เหว|ภูเก็ต|เผย|โหด|เกิน|ญาติ|ยาก|ทำ|ใจ	3
1000224	ส.|เปตอง|เห็น|แวว|!|ให้|โควตา|น้อง|เก้า|ร่วม|คัดเลือก|ตัว|ทีมชาติ	1
1000247	ครอบครัว|ฟุตบอล|!|‘|รา|เย|วัช|’|อ้อนขอแรงหนุนสู้ศึกคิงส์คั	4
1000249	โลก|อาจ|เผชิญ|คลื่น|ความ|ร้อน|รุนแรง|ใน|80|ปี|ข้างหน้า	2
1000290	ลุ้น|แชมป์|แรก|ของ|'|รา|เย|วัช|'|กับ|ทีมชาติ|ไทย|ใน|ศึก|คิงส์|คัพ|ครั้ง|ที่|45	4
1000300	ลุย|กัน|ต่อ|!|สาว|ไทย|เหิน|ฟ้า|สู่|ญี่ปุ่น|สู้|ศึก|เวิลด์|กรังด์|ปรีซ์|วีค|2	0
1000302	'|นพ|ดล|'|หวั่น|'|ไพร|มา|รี|โหวต|'|ทำ|พรรคการเมือง|แตกแยก|ไม่|เหมาะ|กับ|ไทย	2
1000317	เล่น|อะไร|ไม่|คิด|!|หนุ่ม|สุด|ห่าม|อยาก|จับ|หาง|ฉลามเสือ|โดน|งับ|มือ|เลือด|สาด|(|ชม|คลิป|)	2
1000327	ญี่ปุ่น|วางแผน|ส่ง|นักบิน|อวกาศ|ไป|ดวงจันทร์|ใน|อีก|13|ปี	0
1000327	ญี่ปุ่น|วางแผน|ส่ง|นักบิน|อวกาศ|ไป|ดวงจันทร์|ใน|อีก|13|ปี	2
1000344	'|พาณิชย์|'|ช่วย|ชาว|สวน|ยาง|เร่ง|หา|ตลาด|รองรับ|ผลผลิต|เพิ่ม|การ|ส่งออก	2
1000359	'|ปึ้ง|'|เย้ย|รบ.|ไม่|เป็น|ประชาธิปไตย|สหรัฐ|ฯ|ไม่|ให้|ความสำคัญ	4
1000364	โปร|ฯ|แรง|ตะกาย|แอคทีฟ|Mazd|แจก|ยับ|ฉลอง|ยอด|100,000|คัน|!	0
1000364	โปร|ฯ|แรง|ตะกาย|แอคทีฟ|Mazd|แจก|ยับ|ฉลอง|ยอด|100,000|คัน|!	2
1000370	นึก|ว่า|ยานอวกาศ|!|โรงแรม|แคปซูล|ธุรกิจ|Startup|กรุง|ปัก|กิ่	1
1000397	นายก|ฯ|ย้ำ|รัฐ|เดินหน้า|เต็มที่|แก้|ราคา|ยาง|ตก|เชื่อ|ผ่าน|วิกฤติ|รุนแรง|ไป|แล้ว	2
1000414	ทราน|ฟอร์|เมอร์|!|ชม|คลิป|เหตุ|ไฉน|เมือง|จีน|สร้าง|ราง|รถไฟ|ความเร็ว|สูง|ได้|รวดเร็ว	1
